"name","year","ppt","springT"
"Five Island Lake",2021,292.045694351196,9.07539979616801
"Fogle Lake",2017,451.043004989624,10.5190006891886
"Fogle Lake",2018,501.999999046326,9.80300037066142
"Fogle Lake",2019,790.115989685059,8.52216642101606
"Fogle Lake",2020,549.614998579025,9.86306635538737
"Fogle Lake",2021,448.712386131287,10.8418995539347
"George Wyth Lake",2017,488.151998519897,8.70633367697398
"George Wyth Lake",2018,443.521001815796,7.35133351882299
"George Wyth Lake",2019,677.205993652344,7.11396646499634
"George Wyth Lake",2020,534.58399772644,9.00499979654948
"George Wyth Lake",2021,350.907891273499,9.79416640599569
"Green Belt Lake",2017,478.046001434326,8.64700039227804
"Green Belt Lake",2018,450.368000030518,7.4336671034495
"Green Belt Lake",2019,740.255992889404,6.90579990545909
"Green Belt Lake",2020,526.99299621582,8.61063313484192
"Green Belt Lake",2021,400.932188034058,9.56173340479533
"Green Castle Lake",2017,433.806009292603,9.10966722170512
"Green Castle Lake",2018,424.471997261047,8.13200040658315
"Green Castle Lake",2019,628.611009597778,7.26883308092753
"Green Castle Lake",2020,502.014998435974,8.79213301340739
"Green Castle Lake",2021,375.004499435425,9.97549978892008
"Green Valley Lake",2017,445.426008224487,10.4336671829224
"Green Valley Lake",2018,370.618998527527,9.68366694450378
"Green Valley Lake",2019,691.408996582031,8.28043300161759
"Green Valley Lake",2020,518.517994165421,9.71539974212646
"Green Valley Lake",2021,436.84388923645,10.6230662663778
"Greenfield Lake",2017,471.920997619629,10.1116671562195
"Greenfield Lake",2018,395.764001846313,9.13366715113322
"Greenfield Lake",2019,621.882007598877,7.87279973427455
"Greenfield Lake",2020,444.114006519318,9.37076663970947
"Greenfield Lake",2021,408.456592559814,10.3282663027445
"Hannen Lake",2017,477.758996963501,9.30066712697347
"Hannen Lake",2018,426.331001281738,8.38900057474772
"Hannen Lake",2019,726.298992156982,7.5347994963328
"Hannen Lake",2020,491.597992897034,8.90763314565023
"Hannen Lake",2021,427.016700744629,10.0122998555501
"Hawthorne Lake",2017,486.999000549316,10.0113338629405
"Hawthorne Lake",2018,426.22200012207,8.98133357365926
"Hawthorne Lake",2019,864.488018035889,8.18596638242404
"Hawthorne Lake",2020,417.533004283905,9.62089967727661
"Hawthorne Lake",2021,452.682085037231,10.674433072408
"Hickory Grove Lake",2017,468.350996017456,9.3406670888265
"Hickory Grove Lake",2018,470.508003234863,8.35300052165985
"Hickory Grove Lake",2019,594.842987060547,7.40479985872904
